date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-10-20,2,0.0,0.0,0.24,0.22,0.04,0.0,2.52,0.01,0.0,0.0,0.38,0.0,1.39,0.02,0.0,0.01,0.0,0.0,0.02,0.32,0.38,0.76,0.5,0.0,6.41,0.1,0.53
2016-10-21,2,0.0,0.0,0.0,0.0,6.72,0.0,13.34,0.29,0.0,0.0,2.1,0.0,0.12,0.03,0.0,0.75,0.0,0.0,0.05,2.4,0.02,0.81,0.0,0.0,18.36,0.13,1.8
2016-10-22,2,0.0,0.54,0.07,5.65,0.0,0.0,0.7,0.38,0.02,0.0,5.46,0.09,0.0,2.93,0.05,0.13,0.01,0.0,2.51,1.02,1.03,0.02,1.92,0.0,5.1,0.19,1.11
2016-10-23,2,0.0,0.01,0.32,0.0,0.0,0.48,0.0,1.76,0.0,0.0,1.22,0.0,0.0,2.98,1.11,0.2,0.12,0.01,0.0,1.51,1.11,0.0,7.78,0.0,0.06,1.95,0.75
2016-10-24,2,0.02,0.0,0.88,0.0,0.0,1.69,0.0,3.66,0.0,0.0,0.02,0.0,0.0,1.63,1.62,0.39,0.0,1.57,0.0,1.44,0.36,0.0,0.56,0.0,0.01,0.03,0.55
2016-10-25,2,0.02,0.0,0.39,2.05,0.0,5.91,0.0,11.05,0.0,0.13,0.0,0.0,0.0,0.47,1.32,0.56,0.0,0.0,1.82,0.57,0.13,0.0,0.0,1.09,2.43,23.32,1.12
2016-10-26,2,0.02,-0.01,0.29,1.06,0.2,3.79,0.01,18.63,0.0,0.99,0.0,0.01,0.0,1.51,0.84,0.2,0.0,0.45,0.0,0.11,7.03,0.5,0.0,0.01,0.12,0.07,1.43
2016-10-27,2,0.0,0.0,0.05,1.68,0.12,1.79,1.02,0.04,0.0,2.29,0.05,0.96,0.0,1.04,0.38,0.57,0.05,7.02,0.0,0.0,0.17,0.5,11.71,0.14,0.0,0.0,1.18
2016-10-28,2,0.0,0.07,0.0,0.62,0.07,0.0,0.04,0.0,0.0,8.73,2.27,0.61,0.09,3.0,1.28,2.63,0.99,0.63,0.0,0.62,0.02,0.24,7.89,2.51,0.0,2.49,1.29
2016-10-29,2,0.64,0.12,0.02,0.0,0.04,0.0,0.0,0.0,0.0,9.86,2.29,0.0,0.46,1.27,0.13,0.07,0.19,3.01,0.04,0.16,0.08,0.0,1.51,0.18,0.0,0.13,0.8
2016-10-30,2,0.98,0.0,0.03,0.05,1.54,0.0,0.0,0.0,0.02,0.2,0.43,0.49,0.0,0.0,0.9,0.2,0.02,0.03,1.68,0.13,0.0,2.39,0.09,0.5,0.06,0.0,0.39
2016-10-31,2,0.0,0.06,3.93,0.32,0.0,0.0,0.01,0.05,1.84,1.88,0.42,0.28,0.0,0.0,1.06,1.61,1.62,0.06,0.07,0.2,0.35,1.99,0.01,0.0,0.32,0.0,0.64
2016-11-01,3,0.0,0.0,5.63,0.0,0.0,0.0,9.84,0.27,0.07,1.28,0.0,0.0,0.67,0.04,0.0,0.0,0.67,0.0,0.14,0.0,0.0,1.76,0.42,0.12,0.24,0.0,0.85
2016-11-02,3,0.0,0.0,0.09,0.0,0.0,0.25,11.41,0.28,0.02,0.76,0.18,0.05,0.12,0.02,0.0,0.0,0.0,0.32,-0.02,12.58,0.0,0.17,0.19,0.68,0.88,0.0,1.12
2016-11-03,3,0.13,0.05,1.68,0.03,0.0,0.4,0.47,0.0,0.21,0.03,0.07,6.21,0.0,0.11,0.05,0.0,0.0,0.35,0.01,0.77,0.69,0.0,0.19,0.0,0.06,0.15,0.46
2016-11-04,3,0.07,0.01,0.01,0.02,0.87,9.6,0.0,0.0,0.0,1.54,5.24,0.01,0.01,6.58,0.58,0.1,6.29,2.21,3.06,3.21,0.02,0.0,0.05,0.0,0.77,0.0,1.61
2016-11-05,3,0.0,0.0,0.05,0.0,8.07,2.94,0.02,0.68,0.0,0.01,0.45,0.0,0.0,0.07,0.01,0.1,4.83,3.5,0.0,4.4,0.0,0.01,0.05,0.0,0.0,0.02,1.01
2016-11-06,3,0.0,0.02,0.81,0.02,0.17,0.0,0.15,0.12,0.0,0.05,0.01,0.0,0.02,0.3,0.0,0.0,6.42,0.43,0.0,0.02,5.73,8.25,0.07,0.01,0.22,0.44,0.91
2016-11-07,3,0.0,0.7,0.01,0.02,0.0,0.0,0.07,0.0,0.05,0.0,0.09,0.0,0.94,0.03,0.06,0.0,0.01,0.51,0.06,0.35,0.01,0.17,1.02,0.21,0.0,1.64,0.17
2016-11-08,3,0.02,0.0,0.0,0.97,0.3,0.01,0.02,0.0,0.0,0.0,0.47,0.0,0.02,0.75,0.01,0.0,0.04,4.35,0.0,26.09,0.0,0.48,0.0,0.09,0.0,1.72,1.34
2016-11-09,3,0.02,6.24,2.6,0.02,6.35,1.85,0.06,0.01,0.0,0.07,3.17,9.56,0.0,0.86,0.27,0.01,0.53,0.0,0.4,2.5,0.0,0.17,0.0,0.01,0.0,0.0,1.39
2016-11-10,3,0.58,0.97,0.19,0.0,0.0,0.26,0.4,6.85,0.7,0.57,0.03,2.81,0.02,0.04,0.0,0.2,0.0,0.2,0.02,0.2,0.0,0.0,0.0,0.05,0.12,1.58,0.57
2016-11-11,3,6.43,0.03,5.93,0.09,0.0,0.0,0.0,0.0,2.0,0.76,0.0,0.16,0.0,0.07,0.12,31.98,0.0,0.12,0.03,0.0,0.02,0.0,18.86,0.01,0.35,0.62,2.68
2016-11-12,3,0.77,0.0,0.9,0.02,0.92,0.0,0.0,0.0,6.49,0.0,0.0,0.02,1.4,0.04,0.82,2.81,0.02,0.16,0.02,0.0,0.0,0.17,19.45,0.71,0.21,0.0,1.4
2016-11-13,3,0.0,0.0,0.0,0.24,0.47,0.0,0.0,0.0,0.07,0.0,0.04,0.0,0.03,6.24,0.12,1.45,2.6,0.0,19.29,0.02,0.0,0.53,0.1,0.39,0.0,0.02,1.26
2016-11-14,3,0.58,0.12,0.96,0.21,0.93,0.03,4.11,7.69,0.02,3.68,0.0,0.08,0.0,0.97,0.0,0.11,5.33,0.0,0.37,0.0,0.12,0.01,0.32,0.05,0.0,0.0,1.03
2016-11-15,3,0.0,0.19,0.02,0.01,3.69,0.12,13.56,0.26,0.0,1.13,0.82,1.33,0.0,0.02,0.0,1.86,1.15,0.0,1.07,0.0,1.13,0.11,5.42,0.0,0.0,0.0,1.28
2016-11-16,3,0.11,0.26,0.01,0.19,1.51,0.0,0.03,0.01,0.0,0.02,0.0,2.23,0.0,0.02,0.16,2.1,0.38,0.0,1.98,0.0,0.02,0.0,9.1,0.02,0.09,0.0,0.73
2016-11-17,3,0.86,0.0,0.67,0.12,0.0,0.66,0.0,3.16,0.02,0.0,0.51,5.56,1.69,0.83,0.0,0.0,4.24,0.0,0.02,1.4,0.08,0.76,2.55,6.72,0.35,0.0,1.21
