date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2018_6,125.52999999999999,198.17999999999998,166.57999999999998,74.09,81.14,205.53999999999996,62.67,70.78999999999999,178.26999999999995,110.68,161.77,77.68,68.92,60.209999999999994,34.010000000000005,138.39000000000001,207.7,137.92,10.62,103.91000000000003,32.900000000000006,44.95999999999999,99.94000000000001,153.63,82.93999999999998,173.74,104.51,52.209999999999994,157.94000000000005,28.94,80.01,230.32999999999998,37.88,254.44,64.21,61.82999999999999,159.55999999999997,128.89,161.82,127.04999999999998,113.02,103.26,85.32999999999997,17.28,153.22,78.7,231.39000000000004,50.52000000000001,87.66,156.16999999999996,41.36,110.37,94.76999999999998
2018_7,269.06,150.32000000000002,229.05000000000007,280.6000000000001,215.2100000000001,175.34999999999997,194.53,133.32,237.11999999999998,260.04999999999995,317.3599999999999,375.37,214.98000000000005,235.83999999999995,250.38000000000005,118.79000000000003,379.84000000000003,212.2,283.76999999999987,126.98999999999998,195.53,393.2900000000001,230.68999999999997,352.4499999999999,180.83999999999992,207.83999999999992,212.58999999999992,162.61999999999998,255.54999999999998,92.06000000000002,287.37000000000006,591.5600000000001,409.53000000000003,287.07,278.05,125.49000000000002,163.43,134.54000000000002,302.84000000000003,226.03000000000006,217.66000000000003,212.57999999999998,217.42000000000004,208.40999999999997,215.43,159.45000000000005,231.70000000000002,373.90999999999997,260.56,153.64000000000004,304.22,241.25999999999993,210.42999999999995
2018_8,51.86,227.98999999999995,164.96,54.919999999999995,208.36,210.6,67.42,122.45,84.53,141.6,37.51,387.45000000000005,111.22999999999999,70.17999999999998,214.84999999999997,123.52000000000001,64.86,99.07000000000004,265.44,236.21999999999997,185.52,382.48,101.33999999999999,162.42000000000002,200.80999999999997,197.98999999999998,114.68999999999998,78.64999999999999,175.17000000000004,143.13999999999996,69.53999999999999,288.70000000000005,101.83,81.82999999999998,127.09,363.4,157.90999999999997,474.0899999999999,98.02,234.08999999999995,122.80999999999999,175.70999999999998,51.269999999999996,152.72,164.91,156.09999999999997,175.44000000000008,306.39,110.32000000000002,136.44,315.36999999999995,167.64999999999998,326.85
2018_9,70.72000000000001,159.14000000000004,137.96,100.72000000000001,234.50000000000003,91.66000000000001,218.4699999999999,245.32000000000002,111.28000000000002,109.78999999999999,95.00999999999999,168.61999999999998,209.90999999999997,127.99000000000005,131.81999999999996,75.49000000000001,130.08999999999997,169.0,257.45,213.55999999999997,137.03,126.95999999999997,76.19000000000001,89.86,147.32999999999998,90.37,148.68,161.03,166.68999999999997,68.46000000000002,89.44999999999999,245.61,117.69000000000001,167.94000000000003,180.08999999999997,224.51999999999998,95.98000000000002,164.64000000000001,259.87,165.50999999999996,175.64000000000007,116.73,141.7,301.02000000000004,39.05000000000001,306.89000000000004,131.73999999999998,112.83000000000001,99.18000000000002,133.38000000000002,97.23000000000002,149.74000000000004,175.33
2018_10,98.02999999999999,27.710000000000008,62.69000000000001,35.040000000000006,32.94000000000001,41.27,108.31,112.66000000000003,86.21,44.169999999999995,104.72000000000001,51.81,97.05000000000001,86.01,73.68,121.26999999999998,36.68,17.279999999999998,92.71,63.089999999999996,134.45000000000002,54.38999999999999,98.11999999999999,122.13000000000001,127.4,62.289999999999985,81.88999999999999,17.78,80.71,41.410000000000004,13.75,115.73,18.5,69.86000000000001,92.35000000000005,86.43,34.19000000000001,95.64999999999998,40.81000000000002,48.01000000000002,66.90000000000002,65.69,206.56,119.45,58.87000000000001,83.97,43.12000000000001,94.33999999999999,52.30999999999999,130.29,77.23000000000002,75.04000000000003,119.92000000000004
2018_11,15.500000000000004,22.959999999999994,35.08,22.740000000000002,30.670000000000005,6.100000000000001,42.3,61.78000000000001,46.970000000000006,18.25,70.90999999999998,49.57,27.640000000000004,21.419999999999995,43.029999999999994,49.54,42.43,18.08,49.43999999999998,15.089999999999998,25.140000000000004,50.79,34.800000000000004,58.23,25.900000000000002,50.02,36.08,29.49,55.85,53.84,49.879999999999995,42.94000000000002,26.19,29.439999999999998,47.23,34.599999999999994,21.410000000000004,32.31,58.37,36.82000000000001,37.53000000000001,16.800000000000004,50.25999999999999,24.799999999999997,39.13,27.61999999999999,19.059999999999995,12.03,36.91,45.45,24.21,35.74,56.94
2018_12,10.830000000000002,12.849999999999996,13.299999999999995,27.640000000000004,24.94,10.23,12.09,9.919999999999998,20.030000000000005,25.57000000000001,7.26,38.67,18.79,13.209999999999997,18.080000000000005,22.529999999999998,12.87,17.639999999999997,14.389999999999997,17.51,16.780000000000005,13.62,7.289999999999998,21.11,12.64,13.29,43.78999999999999,32.08,12.860000000000001,9.729999999999999,17.370000000000005,11.119999999999997,17.369999999999997,17.38,10.579999999999998,14.23,29.090000000000003,16.999999999999993,32.589999999999996,26.09,13.279999999999996,17.709999999999997,20.019999999999996,15.479999999999997,24.730000000000004,39.87,20.130000000000003,26.740000000000006,34.96,19.1,26.84,19.25,31.060000000000002
2019_1,13.99,28.590000000000003,26.070000000000004,9.61,7.8199999999999985,8.15,24.799999999999997,19.130000000000003,21.31,39.72999999999999,28.36,9.809999999999999,13.49,16.64,14.520000000000001,32.44,36.28,12.13,15.74,48.13000000000001,26.410000000000004,22.549999999999997,22.21,51.910000000000004,16.67,15.64,33.22,12.679999999999998,9.069999999999999,40.809999999999995,34.839999999999996,7.17,7.93,11.599999999999998,23.290000000000003,15.11,7.589999999999999,52.25,16.21,22.55,13.899999999999995,13.810000000000002,12.65,24.040000000000003,16.64,4.79,16.439999999999998,16.780000000000005,36.279999999999994,43.09000000000001,27.300000000000004,21.62999999999999,0.9000000000000001
2019_2,36.44,30.170000000000005,47.12,26.330000000000002,36.16,52.03999999999999,68.23,48.78000000000001,38.52,31.080000000000005,43.18999999999999,76.52000000000001,48.79,17.839999999999996,72.66,64.17000000000002,49.65999999999999,74.88,69.35000000000001,68.58000000000001,70.75,34.85,88.67,68.78,68.27,25.170000000000005,48.66,59.34999999999999,63.04,27.720000000000002,24.740000000000002,65.39000000000003,81.16000000000001,30.010000000000005,45.12,23.61,14.319999999999999,44.18,30.4,39.77,83.67999999999999,24.340000000000003,36.68,42.660000000000004,66.11,45.14,102.76000000000002,53.17999999999999,15.760000000000002,34.86,87.83999999999999,49.94999999999999,39.489999999999995
2019_3,53.489999999999995,102.09,64.83000000000001,57.679999999999986,32.18,41.410000000000004,41.25999999999999,48.82000000000001,70.48000000000002,25.909999999999997,23.22,25.510000000000005,34.28000000000001,48.67999999999999,87.75,37.53,42.349999999999994,81.82000000000001,38.370000000000005,25.819999999999997,25.6,58.04999999999999,75.13,26.370000000000005,51.74999999999999,102.68000000000002,45.63,38.18999999999999,49.61,49.719999999999985,22.08,63.04,17.36,42.65,39.68000000000001,27.750000000000004,28.099999999999998,28.79,21.01,48.69999999999999,23.62,36.22,47.02999999999999,56.48000000000001,38.02,25.180000000000003,14.269999999999998,14.619999999999997,23.560000000000002,62.9,40.39000000000001,43.690000000000005,47.349999999999994
