catchment,date,month,leadtime,CRPS
A,2017_8,8,6,113.89
A,2017_9,9,6,114.26
A,2017_10,10,6,109.415
A,2017_11,11,6,41.735
A,2017_12,12,6,43.09
A,2018_1,1,6,30.078
A,2018_2,2,6,52.095
A,2018_3,3,6,123.741
A,2018_4,4,6,165.226
A,2018_5,5,6,174.216
A,2018_6,6,6,146.743
A,2018_7,7,6,197.554
A,2018_8,8,6,164.793
A,2018_9,9,6,29.489
A,2018_10,10,6,42.485
A,2018_11,11,6,87.93
A,2018_12,12,6,169.531
A,2019_1,1,6,186.918
A,2019_2,2,6,237.308
A,2019_3,3,6,237.91
A,2019_4,4,6,150.497
A,2019_5,5,6,70.346
A,2019_6,6,6,73.246
A,2019_7,7,6,44.689
A,2019_8,8,6,39.527
A,2019_9,9,6,31.423
A,2019_10,10,6,115.739
A,2019_11,11,6,97.911
A,2019_12,12,6,77.384
A,2020_1,1,6,140.848
A,2020_2,2,6,94.914
A,2020_3,3,6,115.924
A,2020_4,4,6,224.414
A,2020_5,5,6,217.829
A,2020_6,6,6,212.921
A,2020_7,7,6,297.064
A,2020_8,8,6,100.247
A,2020_9,9,6,110.628
A,2020_10,10,6,114.237
A,2020_11,11,6,41.856
A,2020_12,12,6,21.705
