catchment,date,month,leadtime,CRPS
A,2012_11,11,6,14.012
A,2012_12,12,6,35.162
A,2013_1,1,6,28.274
A,2013_2,2,6,112.575
A,2013_3,3,6,88.328
A,2013_4,4,6,77.892
A,2013_5,5,6,64.656
A,2013_6,6,6,72.511
A,2013_7,7,6,59.184
A,2013_8,8,6,45.753
A,2013_9,9,6,28.546
A,2013_10,10,6,51.578
A,2013_11,11,6,33.591
A,2013_12,12,6,70.039
A,2014_1,1,6,108.902
A,2014_2,2,6,217.164
A,2014_3,3,6,154.036
A,2014_4,4,6,45.628
A,2014_5,5,6,48.088
A,2014_6,6,6,57.775
A,2014_7,7,6,41.41
A,2014_8,8,6,23.495
A,2014_9,9,6,31.302
A,2014_10,10,6,15.096
A,2014_11,11,6,67.899
A,2014_12,12,6,81.007
A,2015_1,1,6,97.479
A,2015_2,2,6,153.732
A,2015_3,3,6,141.309
A,2015_4,4,6,308.696
A,2015_5,5,6,258.827
A,2015_6,6,6,188.876
A,2015_7,7,6,78.207
A,2015_8,8,6,86.693
A,2015_9,9,6,21.276
A,2015_10,10,6,15.36
A,2015_11,11,6,20.104
A,2015_12,12,6,24.805
A,2016_1,1,6,39.589
A,2016_2,2,6,57.907
A,2016_3,3,6,76.825
A,2016_4,4,6,52.102
A,2016_5,5,6,50.149
A,2016_6,6,6,59.859
A,2016_7,7,6,57.456
A,2016_8,8,6,73.712
A,2016_9,9,6,20.487
A,2016_10,10,6,17.581
A,2016_11,11,6,20.139
A,2016_12,12,6,56.597
A,2017_1,1,6,97.012
A,2017_2,2,6,48.666
A,2017_3,3,6,56.452
A,2017_4,4,6,61.658
A,2017_5,5,6,43.02
A,2017_6,6,6,50.431
A,2017_7,7,6,44.984
A,2017_8,8,6,96.643
A,2017_9,9,6,49.683
A,2017_10,10,6,25.5
A,2017_11,11,6,19.709
A,2017_12,12,6,119.672
A,2018_1,1,6,91.758
A,2018_2,2,6,98.287
A,2018_3,3,6,158.328
A,2018_4,4,6,192.633
A,2018_5,5,6,213.476
A,2018_6,6,6,167.514
A,2018_7,7,6,202.461
A,2018_8,8,6,204.67
A,2018_9,9,6,65.904
A,2018_10,10,6,25.622
A,2018_11,11,6,24.012
A,2018_12,12,6,73.738
A,2019_1,1,6,82.082
A,2019_2,2,6,154.67
A,2019_3,3,6,217.443
A,2019_4,4,6,141.472
A,2019_5,5,6,68.823
A,2019_6,6,6,69.484
A,2019_7,7,6,48.573
A,2019_8,8,6,50.539
A,2019_9,9,6,56.102
A,2019_10,10,6,12.801
A,2019_11,11,6,16.783
A,2019_12,12,6,12.461
A,2020_1,1,6,30.263
A,2020_2,2,6,48.657
A,2020_3,3,6,142.276
A,2020_4,4,6,232.847
A,2020_5,5,6,250.208
A,2020_6,6,6,214.339
A,2020_7,7,6,296.346
A,2020_8,8,6,104.969
A,2020_9,9,6,44.4
A,2020_10,10,6,32.953
A,2020_11,11,6,15.547
A,2020_12,12,6,55.911
