catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2012_4,4,3,50.869,29.863,-0.703,0.0
A,2012_5,5,3,64.326,43.697,-0.472,0.0
A,2012_6,6,3,197.489,48.725,-3.053,0.0
A,2012_7,7,3,212.919,48.513,-3.389,0.0
A,2012_8,8,3,81.07,68.414,-0.185,0.0
A,2012_9,9,3,39.022,53.439,0.27,1.0
A,2012_10,10,3,15.596,43.296,0.64,1.0
A,2012_11,11,3,12.372,50.896,0.757,1.0
A,2012_12,12,3,10.118,48.37,0.791,1.0
A,2013_1,1,3,23.17,30.613,0.243,1.0
A,2013_2,2,3,47.484,26.678,-0.78,0.0
A,2013_3,3,3,17.921,19.419,0.077,1.0
A,2013_4,4,3,17.39,20.835,0.165,1.0
A,2013_5,5,3,108.365,93.027,-0.165,0.0
A,2013_6,6,3,70.527,55.387,-0.273,0.0
A,2013_7,7,3,86.681,69.793,-0.242,0.0
A,2013_8,8,3,43.597,124.615,0.65,1.0
A,2013_9,9,3,29.209,35.373,0.174,1.0
A,2013_10,10,3,45.27,10.14,-3.464,0.0
A,2013_11,11,3,18.771,15.167,-0.238,0.0
A,2013_12,12,3,34.566,7.19,-3.808,0.0
A,2014_1,1,3,74.302,8.781,-7.462,0.0
A,2014_2,2,3,73.025,11.929,-5.122,0.0
A,2014_3,3,3,93.695,43.137,-1.172,0.0
A,2014_4,4,3,76.412,86.085,0.112,1.0
A,2014_5,5,3,128.317,228.307,0.438,1.0
A,2014_6,6,3,52.84,191.368,0.724,1.0
A,2014_7,7,3,42.448,188.281,0.775,1.0
A,2014_8,8,3,48.454,68.414,0.292,1.0
A,2014_9,9,3,42.789,53.916,0.206,1.0
A,2014_10,10,3,31.277,54.416,0.425,1.0
A,2014_11,11,3,44.297,7.195,-5.157,0.0
A,2014_12,12,3,48.076,6.415,-6.494,0.0
A,2015_1,1,3,82.718,10.246,-7.073,0.0
A,2015_2,2,3,66.93,11.929,-4.611,0.0
A,2015_3,3,3,84.361,42.72,-0.975,0.0
A,2015_4,4,3,122.442,69.451,-0.763,0.0
A,2015_5,5,3,98.951,163.847,0.396,1.0
A,2015_6,6,3,180.956,276.268,0.345,1.0
A,2015_7,7,3,92.426,333.741,0.723,1.0
A,2015_8,8,3,111.842,183.49,0.39,1.0
A,2015_9,9,3,21.295,35.069,0.393,1.0
A,2015_10,10,3,15.322,90.457,0.831,1.0
A,2015_11,11,3,39.096,73.106,0.465,1.0
A,2015_12,12,3,45.766,17.523,-1.612,0.0
A,2016_1,1,3,77.464,10.23,-6.572,0.0
A,2016_2,2,3,23.753,36.179,0.343,1.0
A,2016_3,3,3,75.851,16.963,-3.472,0.0
A,2016_4,4,3,96.308,52.006,-0.852,0.0
A,2016_5,5,3,37.993,41.145,0.077,1.0
A,2016_6,6,3,39.81,100.343,0.603,1.0
A,2016_7,7,3,51.646,119.345,0.567,1.0
A,2016_8,8,3,70.936,129.461,0.452,1.0
A,2016_9,9,3,24.584,32.248,0.238,1.0
A,2016_10,10,3,13.022,47.1,0.724,1.0
A,2016_11,11,3,11.97,15.3,0.218,1.0
A,2016_12,12,3,21.992,25.59,0.141,1.0
A,2017_1,1,3,59.69,9.646,-5.188,0.0
A,2017_2,2,3,49.367,12.164,-3.058,0.0
A,2017_3,3,3,82.414,53.647,-0.536,0.0
A,2017_4,4,3,112.016,96.396,-0.162,0.0
A,2017_5,5,3,53.678,41.79,-0.284,0.0
A,2017_6,6,3,120.752,49.398,-1.444,0.0
A,2017_7,7,3,63.546,60.303,-0.054,0.0
A,2017_8,8,3,70.818,105.809,0.331,1.0
A,2017_9,9,3,48.459,66.005,0.266,1.0
A,2017_10,10,3,58.469,11.215,-4.213,0.0
A,2017_11,11,3,45.817,6.997,-5.548,0.0
A,2017_12,12,3,36.371,6.181,-4.884,0.0
A,2018_1,1,3,16.929,22.472,0.247,1.0
A,2018_2,2,3,30.75,82.035,0.625,1.0
A,2018_3,3,3,74.754,153.425,0.513,1.0
A,2018_4,4,3,36.479,72.236,0.495,1.0
