catchment,date,month,leadtime,CRPS_ref
A,2017_7,7,4,60.418
A,2017_8,8,4,103.598
A,2017_9,9,4,65.872
A,2017_10,10,4,13.667
A,2017_11,11,4,10.36
A,2017_12,12,4,22.388
A,2018_1,1,4,73.129
A,2018_2,2,4,155.545
A,2018_3,3,4,101.258
A,2018_4,4,4,47.985
A,2018_5,5,4,51.023
A,2018_6,6,4,83.226
A,2018_7,7,4,51.377
A,2018_8,8,4,84.599
A,2018_9,9,4,93.212
A,2018_10,10,4,76.276
A,2018_11,11,4,28.267
A,2018_12,12,4,16.822
A,2019_1,1,4,11.789
A,2019_2,2,4,31.698
A,2019_3,3,4,89.215
A,2019_4,4,4,163.365
A,2019_5,5,4,317.217
A,2019_6,6,4,222.979
A,2019_7,7,4,154.744
A,2019_8,8,4,71.14
A,2019_9,9,4,75.54
A,2019_10,10,4,109.888
A,2019_11,11,4,109.481
A,2019_12,12,4,53.075
A,2020_1,1,4,28.946
A,2020_2,2,4,18.668
A,2020_3,3,4,59.66
A,2020_4,4,4,53.924
A,2020_5,5,4,79.774
A,2020_6,6,4,95.978
A,2020_7,7,4,104.1
A,2020_8,8,4,146.251
A,2020_9,9,4,45.365
A,2020_10,10,4,35.147
A,2020_11,11,4,11.142
A,2020_12,12,4,10.599
A,2011_1,1,5,101.653
A,2011_2,2,5,375.626
A,2011_3,3,5,559.155
A,2011_4,4,5,529.851
A,2011_5,5,5,422.367
A,2011_6,6,5,397.324
A,2011_7,7,5,161.82
A,2011_8,8,5,63.877
A,2011_9,9,5,42.216
A,2011_10,10,5,12.537
A,2011_11,11,5,26.893
A,2011_12,12,5,46.85
A,2012_1,1,5,18.617
A,2012_2,2,5,28.498
A,2012_3,3,5,43.965
A,2012_4,4,5,55.866
A,2012_5,5,5,57.746
A,2012_6,6,5,56.375
A,2012_7,7,5,59.356
A,2012_8,8,5,74.335
A,2012_9,9,5,65.53
A,2012_10,10,5,65.537
A,2012_11,11,5,70.715
A,2012_12,12,5,59.39
A,2013_1,1,5,33.799
A,2013_2,2,5,14.685
A,2013_3,3,5,105.547
A,2013_4,4,5,57.184
A,2013_5,5,5,70.559
A,2013_6,6,5,77.888
A,2013_7,7,5,63.065
A,2013_8,8,5,107.647
A,2013_9,9,5,31.285
A,2013_10,10,5,11.721
A,2013_11,11,5,19.165
A,2013_12,12,5,12.149
A,2014_1,1,5,42.831
A,2014_2,2,5,89.533
A,2014_3,3,5,237.94
A,2014_4,4,5,245.504
A,2014_5,5,5,269.038
A,2014_6,6,5,158.087
A,2014_7,7,5,127.287
A,2014_8,8,5,63.877
A,2014_9,9,5,48.916
A,2014_10,10,5,41.919
A,2014_11,11,5,15.547
A,2014_12,12,5,12.149
A,2015_1,1,5,45.67
A,2015_2,2,5,88.28
A,2015_3,3,5,163.65
A,2015_4,4,5,316.215
A,2015_5,5,5,447.931
A,2015_6,6,5,386.647
A,2015_7,7,5,245.024
A,2015_8,8,5,112.986
A,2015_9,9,5,29.726
A,2015_10,10,5,98.66
A,2015_11,11,5,78.369
A,2015_12,12,5,37.79
A,2016_1,1,5,19.224
A,2016_2,2,5,45.616
A,2016_3,3,5,44.943
A,2016_4,4,5,98.901
A,2016_5,5,5,189.449
A,2016_6,6,5,136.948
A,2016_7,7,5,99.887
A,2016_8,8,5,114.126
A,2016_9,9,5,31.336
A,2016_10,10,5,39.181
A,2016_11,11,5,11.563
A,2016_12,12,5,21.415
A,2017_1,1,5,51.198
A,2017_2,2,5,113.836
A,2017_3,3,5,43.965
A,2017_4,4,5,56.997
A,2017_5,5,5,118.452
A,2017_6,6,5,81.426
A,2017_7,7,5,56.91
A,2017_8,8,5,100.283
A,2017_9,9,5,74.65
A,2017_10,10,5,12.942
A,2017_11,11,5,24.426
A,2017_12,12,5,73.583
A,2018_1,1,5,145.385
A,2018_2,2,5,107.15
A,2018_3,3,5,52.651
A,2018_4,4,5,60.029
A,2018_5,5,5,52.879
A,2018_6,6,5,59.773
A,2018_7,7,5,52.636
A,2018_8,8,5,94.502
A,2018_9,9,5,82.71
A,2018_10,10,5,90.06
A,2018_11,11,5,35.687
A,2018_12,12,5,18.881
A,2019_1,1,5,40.203
A,2019_2,2,5,73.525
A,2019_3,3,5,156.58
A,2019_4,4,5,311.295
A,2019_5,5,5,286.39
A,2019_6,6,5,192.131
A,2019_7,7,5,128.571
A,2019_8,8,5,69.11
A,2019_9,9,5,106.752
A,2019_10,10,5,141.45
A,2019_11,11,5,87.919
A,2019_12,12,5,29.543
A,2020_1,1,5,34.215
A,2020_2,2,5,38.089
A,2020_3,3,5,63.825
A,2020_4,4,5,73.991
A,2020_5,5,5,106.158
A,2020_6,6,5,75.978
A,2020_7,7,5,113.939
A,2020_8,8,5,139.933
A,2020_9,9,5,38.243
A,2020_10,10,5,19.218
A,2020_11,11,5,10.332
A,2020_12,12,5,68.85
A,2011_1,1,6,360.342
A,2011_2,2,6,583.307
A,2011_3,3,6,525.95
A,2011_4,4,6,505.235
A,2011_5,5,6,428.771
A,2011_6,6,6,425.187
A,2011_7,7,6,166.224
A,2011_8,8,6,64.095
A,2011_9,9,6,35.874
A,2011_10,10,6,22.156
A,2011_11,11,6,65.574
A,2011_12,12,6,21.058
A,2012_1,1,6,33.645
A,2012_2,2,6,47.674
A,2012_3,3,6,58.823
A,2012_4,4,6,60.402
A,2012_5,5,6,55.903
A,2012_6,6,6,56.131
A,2012_7,7,6,71.228
A,2012_8,8,6,79.539
A,2012_9,9,6,76.922
A,2012_10,10,6,70.971
A,2012_11,11,6,74.996
A,2012_12,12,6,56.046
A,2013_1,1,6,16.948
A,2013_2,2,6,122.757
A,2013_3,3,6,59.593
A,2013_4,4,6,73.045
A,2013_5,5,6,73.577
A,2013_6,6,6,68.531
A,2013_7,7,6,59.028
A,2013_8,8,6,109.71
A,2013_9,9,6,31.411
A,2013_10,10,6,13.051
A,2013_11,11,6,19.469
A,2013_12,12,6,38.189
A,2014_1,1,6,97.593
A,2014_2,2,6,232.667
A,2014_3,3,6,252.591
A,2014_4,4,6,269.679
A,2014_5,5,6,210.151
A,2014_6,6,6,159.709
A,2014_7,7,6,128.515
A,2014_8,8,6,64.095
A,2014_9,9,6,47.584
A,2014_10,10,6,28.542
A,2014_11,11,6,14.449
A,2014_12,12,6,45.889
A,2015_1,1,6,95.069
A,2015_2,2,6,165.667
A,2015_3,3,6,331.827
A,2015_4,4,6,424.732
A,2015_5,5,6,445.26
A,2015_6,6,6,292.773
A,2015_7,7,6,236.244
A,2015_8,8,6,121.63
A,2015_9,9,6,36.934
A,2015_10,10,6,83.811
A,2015_11,11,6,106.303
A,2015_12,12,6,24.445
A,2016_1,1,6,57.739
A,2016_2,2,6,53.377
A,2016_3,3,6,105.272
A,2016_4,4,6,162.855
A,2016_5,5,6,160.118
A,2016_6,6,6,146.183
A,2016_7,7,6,81.153
A,2016_8,8,6,115.857
A,2016_9,9,6,30.757
A,2016_10,10,6,24.316
A,2016_11,11,6,18.739
A,2016_12,12,6,28.991
A,2017_1,1,6,120.971
A,2017_2,2,6,47.674
A,2017_3,3,6,64.259
A,2017_4,4,6,116.438
A,2017_5,5,6,117.911
A,2017_6,6,6,80.037
A,2017_7,7,6,55.09
A,2017_8,8,6,101.785
A,2017_9,9,6,70.104
A,2017_10,10,6,14.561
A,2017_11,11,6,73.369
A,2017_12,12,6,146.472
A,2018_1,1,6,100.49
A,2018_2,2,6,57.302
A,2018_3,3,6,62.616
A,2018_4,4,6,64.416
A,2018_5,5,6,59.847
A,2018_6,6,6,53.839
A,2018_7,7,6,53.553
A,2018_8,8,6,88.847
A,2018_9,9,6,94.376
A,2018_10,10,6,94.421
A,2018_11,11,6,35.601
A,2018_12,12,6,31.094
A,2019_1,1,6,91.682
A,2019_2,2,6,137.917
A,2019_3,3,6,306.187
A,2019_4,4,6,281.709
A,2019_5,5,6,254.912
A,2019_6,6,6,160.012
A,2019_7,7,6,130.375
A,2019_8,8,6,64.095
A,2019_9,9,6,130.97
A,2019_10,10,6,122.501
A,2019_11,11,6,54.988
A,2019_12,12,6,34.77
A,2020_1,1,6,14.858
A,2020_2,2,6,49.712
A,2020_3,3,6,64.823
A,2020_4,4,6,85.999
A,2020_5,5,6,85.327
A,2020_6,6,6,81.093
A,2020_7,7,6,108.704
A,2020_8,8,6,128.246
A,2020_9,9,6,46.777
A,2020_10,10,6,23.939
A,2020_11,11,6,74.88
A,2020_12,12,6,92.372
