date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2020_1,102.33,107.07,90.46,142.98,80.89,62.46,110.4,95.67,72.44,130.57,49.42,119.35,103.1,94.38,111.62,61.19,30.0,125.22,95.31,70.23,61.63,58.32,132.27,174.8,81.89000000000001,130.85,51.69,72.09,104.9,112.85,97.95,112.88,44.2,76.17,53.87,87.12,45.64,54.19,85.37,124.92,67.84,105.23,169.97,50.27,150.17,168.66,80.67,70.57000000000001,85.21,94.22,84.69,93.05,72.95
2020_2,16.929999999999996,82.14,82.97,18.07,62.52,31.84,52.33,115.5,40.18,79.39,27.41,46.970000000000006,38.58,41.74,65.81,40.67999999999999,23.68,56.59,37.49,70.3,70.18,46.99,100.28,70.37,49.58,88.47,46.66,53.01,28.97,51.76,58.66,16.9,68.01,111.84,32.33,46.74999999999999,40.81,50.32,19.95,47.83,101.97,32.8,39.82,160.46,43.92,11.54,39.12,43.57,115.87,46.47,17.85,54.58999999999999,56.690000000000005
2020_3,79.33,104.89,66.23,72.13,143.59,65.98,34.41,85.6,128.54,45.99,119.46,58.5,109.43,64.89,84.79,42.01,89.72000000000001,104.44,107.52,96.77,27.85,105.87,60.63,100.65,49.87,70.15,87.71,108.88999999999999,125.28,60.98,158.65,76.09,118.9,135.01,48.73,24.42,109.55,87.85,15.14,42.88,79.87,92.53,48.28,52.62,72.5,127.47,59.77,72.58,28.46,119.09,114.9,82.08999999999999,24.040000000000006
2020_4,33.53,20.68,61.34,37.22,83.95,80.46,23.38,83.24,84.15,66.41999999999999,68.61000000000001,92.7,21.779999999999998,5.27,43.92,50.27,90.0,58.58,81.47,43.48,71.09,138.34,28.9,74.01,85.85,30.78,141.59,69.0,76.41,63.26,42.77,98.22,82.25,26.159999999999997,35.03,44.459999999999994,113.49,28.42,71.68,130.34,33.62,25.95,44.17,91.03000000000002,61.25,75.32,73.85,59.8,64.05,98.02,81.94,64.53999999999999,28.730000000000004
2020_5,54.12,84.02,59.39000000000001,113.09,87.79,19.61,49.33,62.09,53.22,117.29,113.84,124.45,43.45,55.68000000000001,102.42,64.9,48.29,145.61,56.730000000000004,30.22,74.51,68.5,91.51,147.96,75.93,78.96,92.77,73.07,65.34,85.81,83.44000000000001,108.67000000000002,31.46,70.19,58.71,121.07,92.61,153.14,135.07999999999998,66.85,120.71,133.88,105.99,93.23,49.83,74.14,36.92,68.27,72.8,130.33,106.96,83.4,110.03000000000002
2020_6,170.55,108.47,187.45,160.87,107.58,301.85,59.94,107.35,244.72,131.51,180.67,195.04000000000002,87.95,92.52999999999999,86.73000000000002,24.390000000000004,60.79,216.37,103.0,36.44,93.01,118.29,189.12,281.76000000000005,78.54000000000002,191.3,146.83,55.28,140.17,90.45,209.11,144.54,69.17,152.9,286.71,178.81,254.27,61.25,254.37,171.28,76.96,65.12,198.29,211.94,173.06,99.04000000000002,109.68,114.91,201.4,178.06,323.07,148.66000000000003,90.69
2020_7,287.9,243.24,254.5,162.41,169.18,241.46,179.67,344.99,259.6,152.5,190.56,134.61000000000004,558.93,154.03,334.4,155.12,96.33,173.08,154.21,213.11,314.97,253.37,282.36,262.84,253.02000000000004,282.83,187.33,205.7,136.31,248.04,168.34,136.13,284.46,378.00000000000006,187.42,162.1,252.91,268.99,177.91,50.35,254.19,160.26,275.61,338.43,263.08,363.78,242.61,283.28,301.65999999999997,175.33,141.33,230.47999999999996,265.74
2020_8,285.67,349.76,234.03,333.78,235.21,384.17,216.55,331.51,457.4,343.31,343.31,220.95,420.43,460.72,276.51,337.04,198.23,347.24,210.13000000000002,501.0,191.01,282.54,226.62,399.52,294.65,231.65,299.76,323.74,312.39,260.25,365.01,257.43,266.79,458.48,307.78,225.13,355.8500000000001,200.91,295.8,271.01,347.59,160.22,296.49,157.96,375.42,243.69,185.91000000000003,439.54,441.2,327.25,236.22,304.4,515.05
2020_9,201.69,437.94,240.37,237.5,139.91,222.96,232.6,201.32,261.42,311.9,196.55,336.64,190.53,208.77,244.18,208.64,200.64,315.45,216.2,147.12,149.5,222.71,207.7,240.35,249.21,188.5,388.2,192.83,185.67,337.39,157.31,184.3,229.35,249.7,189.89999999999998,293.58,255.95,258.01,288.85,291.6,255.9,361.99,387.77,209.2,308.19,310.06,406.24,371.16,191.98,294.13,306.97,253.28,217.56000000000003
2020_10,47.83,21.06,8.54,18.63,24.92,63.87,36.83,70.11000000000001,62.84,19.14,31.16,78.45,75.35,17.15,53.05,17.45,25.65,62.67,39.03999999999999,22.9,71.25,29.13,21.7,38.61,21.11,30.13,22.24,47.16,20.71,30.14,21.34,67.41,104.28999999999999,43.83,41.7,51.54,15.56,37.68,35.36,17.27,17.78,37.66,36.94,15.8,24.46,100.2,38.43,37.91,62.46,132.36,59.88,41.74999999999999,7.159999999999998
2020_11,76.0,52.26,91.17,56.07000000000001,16.99,45.64,91.74,40.22,22.45,60.5,28.55,56.09,24.259999999999998,59.370000000000005,21.88,46.31000000000001,30.22,52.02,16.64,69.99,23.38,90.74,6.62,13.91,61.11,58.98,17.559999999999995,31.42,22.35,24.98,35.52,94.44,7.74,25.6,69.64000000000001,54.17,42.9,24.66,26.64,70.79,29.48,27.950000000000003,72.57,13.52,31.47,14.06,42.8,26.51,63.63,14.089999999999998,17.34,41.459999999999994,36.49999999999999
2020_12,30.33,19.26,8.99,21.42,9.22,13.68,13.73,4.74,30.18,3.1899999999999995,14.79,20.22,16.96,21.44,7.71,9.67,14.2,22.5,17.57,40.43,9.11,33.08,27.85,26.79,15.17,16.11,36.5,23.06,13.19,20.41,19.01,14.99,44.13,25.82,13.51,24.550000000000004,23.54,12.92,35.5,27.25,16.18,43.940000000000005,22.15,8.15,35.85000000000001,4.26,10.72,74.08,9.759999999999998,23.6,23.05,21.060000000000002,6.55
